chr	pos	w	Order
chr1	0	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	1440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	1760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	1920000	3	1
chr1	2080000	6|7	2
chr1	2160000	3|4|5|8	4
chr1	2400000	3|4|5	3
chr1	2640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	2760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	3440000	3|4|5|6|7|8|9|10|11|12|13|14	12
chr1	3680000	4	1
chr1	3920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28	26
chr1	4480000	7|8|9|10	4
chr1	4560000	4|5|6	3
chr1	4640000	3	1
chr1	4840000	3|4|5|6|7|8	6
chr1	5080000	4	1
chr1	5400000	5|9|10|11	4
chr1	5440000	8	1
chr1	5480000	3|4|6|7|12|13|14|15|16|17	10
chr1	5800000	3	1
chr1	5960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	6200000	11|13|16|19|21|23|25|27|29|30	10
chr1	6240000	3|4|5|10|12	5
chr1	6440000	3|4|5|6|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	20
chr1	6520000	7|8|9|10|11|12|13|14|15|16	10
chr1	6680000	3|4|5|6|7|8|9|10|11|12|13|14	12
chr1	7000000	3	1
chr1	7200000	3	1
chr1	7640000	3|4|5|6|7|8	6
chr1	7800000	3	1
chr1	7960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	8360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	8880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	9200000	24|27|29|30	4
chr1	9240000	3|4|5|6|7|8|18|19|20|21|22|23|28	13
chr1	9480000	3	1
chr1	9600000	3|4|5|6|7|8|9|10|11|14|15|16|19|20|21|22|23|24|25|26|27|28|29|30	24
chr1	9640000	12|13|17|18	4
chr1	9880000	17|18|19|23|24|30	6
chr1	9920000	5|15|16	3
chr1	9960000	4	1
chr1	10200000	20|21	2
chr1	10360000	3	1
chr1	10440000	10|11|12|13|14|15|16|17|19|23|25|26|27|29|30	15
chr1	10480000	3|4|5|6|7|8|9|18|20|21|22|24|28	13
chr1	11000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	11240000	8|9|15|16|17|18|19|20|21|22|25|26|27|28|29|30	16
chr1	11280000	3|4|5|6|7	5
chr1	11640000	3|4|5|6|7|8	6
chr1	11760000	6	1
chr1	11800000	3|4|5|7|8|9|13|14|21|22|24	11
chr1	12000000	14|15|16|17|18	5
chr1	12040000	3|4|5|6|7|8|9|10|11|12|13	11
chr1	12240000	3|4|5|6|7|8|9|10	8
chr1	12800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	13400000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	13640000	3|4|5	3
chr1	13960000	7	1
chr1	14000000	3|4|5|6|8|9|10|11|12|13|14	11
chr1	14760000	3	1
chr1	15080000	5|6|7|8|9|10	6
chr1	15120000	3|4|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	22
chr1	15320000	3|4|5|9|10|11|13|14|16|17|18|19|20|21|22|23|24|28	18
chr1	15520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23	21
chr1	15760000	3|4|5|9|10	5
chr1	16000000	4	1
chr1	16040000	5|9	2
chr1	16080000	6|7	2
chr1	16240000	3|4|5	3
chr1	16480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	16880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	17080000	3	1
chr1	17400000	3|5|6|10	4
chr1	17440000	4|7|8|9	4
chr1	17680000	3|4|5|6|7|8	6
chr1	18560000	3|4|5|6|7|8|10	7
chr1	18600000	9|12|13|14|16|17	6
chr1	18880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	19080000	3|10|11|12|14|15|17|18|19|20|21|22|23|24|25|26|27|28|29|30	20
chr1	19120000	4|5|13	3
chr1	19240000	6|7	2
chr1	19280000	3|4|5|8|9|28	6
chr1	19680000	3|4|5	3
chr1	19760000	16|18|19|20|22|24|25|27	8
chr1	19800000	13|14|15|17|21|23|26|28|29|30	10
chr1	19840000	10|12	2
chr1	19880000	3|4|5|6|7|8|9|11|13	9
chr1	20160000	25	1
chr1	20200000	3|4|5|6	4
chr1	20520000	3|4|5|6	4
chr1	20640000	13	1
chr1	20680000	3|6|7|8|9|10|11|12|14|17	10
chr1	20720000	4|5	2
chr1	21200000	3|4	2
chr1	21400000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	21480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
