3390.94	chr12	128100000	129400000	+	chr7	138200000	139200000	-	100kb
1222.86	chr12	108100000	108600000	-	chr7	113700000	116100000	-	100kb
2575.17	chr12	129400000	130400000	-	chr7	106500000	108000000	+	100kb
2977.75	chr4	26400000	27500000	+	chr3	77400000	79100000	-	100kb
225.654	chr19	36300000	37800000	+	chr19	43800000	44500000	+	100kb
323.791	chr13	30100000	30600000	-	chr13	73700000	75300000	-	100kb
104.561	chr1	143500000	143700000	+	chr1	152400000	153400000	-	100kb
123.453	chrY	13500000	15300000	+	chrY	16000000	17400000	-	100kb
52.3704	chr7	56200000	58100000	+	chr7	60900000	62400000	+	100kb
72.4731	chr12	106100000	106300000	+	chr12	130000000	130500000	+	100kb
